,city,lat,lon,temp_max,humidity,all,speed,country,date
166,San Juan Del Cesar,10.7711,-73.0031,83.23,66,100,6.53,CO,[]
167,Alyangula,-13.8483,136.4192,81.9,74,83,6.91,AU,[]
168,Gigmoto,13.7796,124.39,80.67,88,54,9.44,PH,[]
169,San Quintin,30.4833,-115.95,61.18,76,33,6.44,MX,[]
170,Port Lincoln,-34.7333,135.8667,63.5,83,100,10.16,AU,[]
171,Worland,44.0169,-107.9554,47.59,75,0,0.0,US,[]
172,Esperance,-33.8667,121.9,64.83,56,53,8.81,AU,[]
173,Carnarvon,-24.8667,113.6333,69.87,88,40,20.71,AU,[]
174,Nador,35.174,-2.9287,64.65,77,40,5.75,MA,[]
175,Puerto Ayora,-0.7393,-90.3518,73.36,81,10,6.85,EC,[]
176,Hasaki,35.7333,140.8333,73.8,89,100,34.52,JP,[]
177,Kandalaksha,67.162,32.4123,29.64,50,52,9.78,RU,[]
178,Katsuura,35.1333,140.3,71.08,92,100,30.13,JP,[]
179,Kristiansund,63.1115,7.732,41.65,52,75,6.91,NO,[]
180,Moron,-34.6534,-58.6198,70.02,93,100,9.17,AR,[]
181,Kirakira,-10.4544,161.9205,79.39,84,93,2.44,SB,[]
182,Vieux Fort,13.7167,-60.95,81.72,74,75,16.11,LC,[]
183,Bengkulu,-3.8004,102.2655,79.95,85,100,5.28,ID,[]
184,Bhainsdehi,21.6467,77.6325,91.06,14,2,6.24,IN,[]
185,Marienburg,54.0359,19.0266,61.84,42,10,8.41,PL,[]
186,Obo,5.3998,26.4869,93.38,34,100,2.93,CF,[]
187,Laguna,38.421,-121.4238,56.44,80,0,6.91,US,[]
188,Tahe,52.3333,124.7333,30.72,50,18,5.32,CN,[]
189,Provideniya,64.3833,-173.3,23.95,92,72,8.55,RU,[]
190,Mishkino,55.3389,63.9175,58.68,57,16,6.49,RU,[]
191,Urusha,54.05,122.9,27.7,54,33,3.96,RU,[]
192,Fairbanks,64.8378,-147.7164,34.61,81,20,6.91,US,[]
193,Yar-Sale,66.8333,70.8333,30.07,93,62,12.3,RU,[]
194,Hilo,19.7297,-155.09,72.28,96,100,3.0,US,[]
195,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.73,82,3,12.37,RU,[]
196,Anadyr,64.75,177.4833,28.0,92,100,28.99,RU,[]
197,Keningau,5.3378,116.1602,72.1,98,94,1.32,MY,[]
198,Severnoye,56.3491,78.3619,48.34,54,15,5.73,RU,[]
199,Sayat,38.7839,63.8803,81.64,21,100,17.83,TM,[]
200,Sinnamary,5.3833,-52.95,82.11,78,100,8.59,GF,[]
201,Seguin,29.5688,-97.9647,60.39,85,100,12.66,US,[]
202,Kidal,18.4411,1.4078,95.59,10,0,18.52,ML,[]
203,Saint-Philippe,-21.3585,55.7679,78.39,81,17,10.58,RE,[]
204,Ugoofaaru,5.6667,73.0,85.6,67,82,2.26,MV,[]
205,Guerrero Negro,27.9769,-114.0611,61.25,77,0,5.66,MX,[]
